plant_no,variety,temperature,drought,initial_height_cm
5,burbank,low,yes,53.4
6,burbank,low,no,46.7
11,burbank,low,yes,36.2
14,burbank,low,no,53.5
16,burbank,low,no,43.6
19,burbank,low,yes,42
26,burbank,low,yes,49.4
27,burbank,low,no,49.9
36,burbank,low,yes,56.5
42,burbank,low,yes,47.1
43,burbank,low,no,38.3
44,burbank,low,no,51.8
4,burbank,high,no,59.9
7,burbank,high,no,48.5
10,burbank,high,no,43.6
20,burbank,high,yes,45.9
24,burbank,high,yes,40.2
28,burbank,high,yes,50.4
34,burbank,high,yes,59.4
35,burbank,high,no,40.1
38,burbank,high,yes,53
39,burbank,high,no,42.2
40,burbank,high,yes,41.6
47,burbank,high,no,48.1