plot,variety,source,planting
1,Russet Burbank,Dalhart,1
2,COTX09022-3RuRE/Y,Dalhart,1
3,Russet Norkotah278,Dalhart,1
4,Russet Norkotah296,Dalhart,1
5,Russet Norkotah,Dalhart,1
6,Reveille Russet,Dalhart,1
7,Sierra Gold,Dalhart,1
8,TX08352-5Ru,Dalhart,1
9,Atlantic,Dalhart,1
10,Yukon Gold,Dalhart,1
11,Yukon Gold,Dalhart,1
12,Reveille Russet,Dalhart,1
13,Russet Norkotah278,Dalhart,1
14,TX08352-5Ru,Dalhart,1
15,COTX09022-3RuRE/Y,Dalhart,1
16,Russet Norkotah,Dalhart,1
17,Atlantic,Dalhart,1
18,Russet Norkotah296,Dalhart,1
19,Sierra Gold,Dalhart,1
20,Russet Burbank,Dalhart,1
21,Russet Burbank,Dalhart,1
22,Reveille Russet,Dalhart,1
23,COTX09022-3RuRE/Y,Dalhart,1
24,Yukon Gold,Dalhart,1
25,TX08352-5Ru,Dalhart,1
26,Atlantic,Dalhart,1
27,Russet Norkotah278,Dalhart,1
28,Russet Norkotah,Dalhart,1
29,Sierra Gold,Dalhart,1
30,Russet Norkotah296,Dalhart,1
31,Russet Norkotah278,Dalhart,1
32,Russet Norkotah,Dalhart,1
33,Russet Norkotah296,Dalhart,1
34,COTX09022-3RuRE/Y,Dalhart,1
35,Russet Burbank,Dalhart,1
36,Atlantic,Dalhart,1
37,Sierra Gold,Dalhart,1
38,Reveille Russet,Dalhart,1
39,TX08352-5Ru,Dalhart,1
40,Yukon Gold,Dalhart,1
41,Russet Burbank,Dalhart,2
42,COTX09022-3RuRE/Y,Dalhart,2
43,Russet Norkotah278,Dalhart,2
44,Russet Norkotah296,Dalhart,2
45,Russet Norkotah,Dalhart,2
46,Reveille Russet,Dalhart,2
47,Sierra Gold,Dalhart,2
48,TX08352-5Ru,Dalhart,2
49,Atlantic,Dalhart,2
50,Yukon Gold,Dalhart,2
51,Russet Norkotah296,Dalhart,2
52,Yukon Gold,Dalhart,2
53,Sierra Gold,Dalhart,2
54,Russet Norkotah,Dalhart,2
55,COTX09022-3RuRE/Y,Dalhart,2
56,TX08352-5Ru,Dalhart,2
57,Reveille Russet,Dalhart,2
58,Atlantic,Dalhart,2
59,Russet Norkotah278,Dalhart,2
60,Russet Burbank,Dalhart,2
61,Atlantic,Dalhart,2
62,Sierra Gold,Dalhart,2
63,Russet Norkotah296,Dalhart,2
64,Russet Burbank,Dalhart,2
65,Russet Norkotah,Dalhart,2
66,Russet Norkotah278,Dalhart,2
67,Reveille Russet,Dalhart,2
68,TX08352-5Ru,Dalhart,2
69,Yukon Gold,Dalhart,2
70,COTX09022-3RuRE/Y,Dalhart,2
71,Yukon Gold,Dalhart,2
72,Reveille Russet,Dalhart,2
73,Russet Norkotah278,Dalhart,2
74,Sierra Gold,Dalhart,2
75,TX08352-5Ru,Dalhart,2
76,Russet Norkotah,Dalhart,2
77,COTX09022-3RuRE/Y,Dalhart,2
78,Atlantic,Dalhart,2
79,Russet Burbank,Dalhart,2
80,Russet Norkotah296,Dalhart,2
81,TACNA,Dalhart,2
82,UNICA,Dalhart,2